"Subject" "Emotion" "Memory" "Test.Tag"
"75" 1 "Fear" "Fear\Female\FF_2.png" "Fear\Female\FF_4.png"
"76" 1 "Fear" "Fear\Male\FM_5.png" "Fear\Male\FM_7.png"
"77" 1 "Fear" "Fear\Male\FM_0.png" "Fear\Male\FM_6.png"
"78" 1 "Fear" "Fear\Female\FF_1.png" "Fear\Female\FF_1.png"
"79" 1 "Fear" "Fear\Female\FF_7.png" "Fear\Female\FF_5.png"
"80" 1 "Happy" "Happiness\Male\HM_0.png" "Happiness\Male\HM_0.png"
"81" 1 "Anger" "Anger\Female\AF_6.png" "Anger\Female\AF_6.png"
"82" 1 "Fear" "Fear\Female\FF_0.png" "Fear\Female\FF_1.png"
"83" 1 "Happy" "Happiness\Female\HF_2.png" "Happiness\Female\HF_0.png"
"84" 1 "Happy" "Happiness\Male\HM_2.png" "Happiness\Male\HM_1.png"
"85" 1 "Happy" "Happiness\Female\HF_3.png" "Happiness\Female\HF_3.png"
"86" 1 "Anger" "Anger\Female\AF_4.png" "Anger\Female\AF_0.png"
"87" 1 "Anger" "Anger\Female\AF_7.png" "Anger\Female\AF_6.png"
"88" 1 "Fear" "Fear\Male\FM_4.png" "Fear\Male\FM_6.png"
"89" 1 "Fear" "Fear\Male\FM_2.png" "Fear\Male\FM_7.png"
"90" 1 "Anger" "Anger\Male\AM_2.png" "Anger\Male\AM_2.png"
"91" 1 "Anger" "Anger\Female\AF_4.png" "Anger\Female\AF_5.png"
"92" 1 "Fear" "Fear\Female\FF_5.png" "Fear\Female\FF_7.png"
"93" 1 "Happy" "Happiness\Female\HF_1.png" "Happiness\Female\HF_1.png"
"94" 1 "Fear" "Fear\Male\FM_4.png" "Fear\Male\FM_7.png"
"95" 1 "Happy" "Happiness\Female\HF_3.png" "Happiness\Female\HF_3.png"
"96" 1 "Happy" "Happiness\Male\HM_3.png" "Happiness\Male\HM_5.png"
"97" 10 "Anger" "Anger\Female\AF_0.png" "Anger\Female\AF_0.png"
"98" 10 "Fear" "Fear\Female\FF_0.png" "Fear\Female\FF_0.png"
"99" 10 "Fear" "Fear\Female\FF_5.png" "Fear\Female\FF_4.png"
"100" 10 "Happy" "Happiness\Male\HM_4.png" "Happiness\Male\HM_2.png"
"101" 10 "Happy" "Happiness\Male\HM_2.png" "Happiness\Male\HM_3.png"
"102" 10 "Happy" "Happiness\Female\HF_6.png" "Happiness\Female\HF_7.png"
